Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,38.89375,-31.75,90,bottom
D2,D_Small,D_SOD-123,38.89375,-50.8,90,bottom
D3,D_Small,D_SOD-123,38.89375,-69.85,90,bottom
D4,D_Small,D_SOD-123,38.89375,-88.9,90,bottom
D5,D_Small,D_SOD-123,57.94375,-31.75,90,bottom
D6,D_Small,D_SOD-123,57.94375,-50.8,90,bottom
D7,D_Small,D_SOD-123,57.94375,-69.7875,90,bottom
D8,D_Small,D_SOD-123,57.94375,-88.9,90,bottom
D9,D_Small,D_SOD-123,76.99375,-31.75,90,bottom
D10,D_Small,D_SOD-123,76.99375,-50.8,90,bottom
D11,D_Small,D_SOD-123,76.99375,-69.85,90,bottom
D12,D_Small,D_SOD-123,76.99375,-88.9,90,bottom
D13,D_Small,D_SOD-123,67.46875,-107.95,90,bottom
D14,D_Small,D_SOD-123,96.04375,-31.75,90,bottom
D15,D_Small,D_SOD-123,96.04375,-50.8,90,bottom
D16,D_Small,D_SOD-123,96.04375,-69.85,90,bottom
D17,D_Small,D_SOD-123,96.04375,-88.9,90,bottom
D18,D_Small,D_SOD-123,86.51875,-107.95,90,bottom
D19,D_Small,D_SOD-123,107.15625,-36.5125,0,bottom
D20,D_Small,D_SOD-123,107.15625,-55.5625,0,bottom
D21,D_Small,D_SOD-123,107.15625,-74.6125,0,bottom
D22,D_Small,D_SOD-123,107.15625,-93.6625,0,bottom
D23,D_Small,D_SOD-123,102.39375,-112.7125,0,bottom
