Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.534,-106.68,0,bottom
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.534,-103.759,0,bottom
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,198.247,-112.903,0,bottom
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.326,-94.869,0,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.326,-97.028,180,bottom
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,202.946,-100.33,270,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.785,-109.347,90,bottom
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,186.182,-97.155,180,bottom
D24,SOD-123,D_SOD-123,126.20625,-38.89375,0,bottom
D25,SOD-123,D_SOD-123,126.20625,-57.94375,0,bottom
D26,SOD-123,D_SOD-123,126.20625,-76.99375,0,bottom
D27,SOD-123,D_SOD-123,126.20625,-96.04375,0,bottom
D28,SOD-123,D_SOD-123,138.90625,-107.95,90,bottom
D29,SOD-123,D_SOD-123,153.19375,-31.75,90,bottom
D30,SOD-123,D_SOD-123,153.19375,-50.8,90,bottom
D31,SOD-123,D_SOD-123,153.19375,-69.85,90,bottom
D32,SOD-123,D_SOD-123,153.19375,-88.9,90,bottom
D33,SOD-123,D_SOD-123,162.71875,-107.95,90,bottom
D34,SOD-123,D_SOD-123,172.24375,-31.75,90,bottom
D35,SOD-123,D_SOD-123,172.24375,-50.8,90,bottom
D36,SOD-123,D_SOD-123,172.24375,-69.85,90,bottom
D37,SOD-123,D_SOD-123,172.24375,-88.9,90,bottom
D38,SOD-123,D_SOD-123,181.76875,-106.3625,90,bottom
D39,SOD-123,D_SOD-123,191.29375,-31.75,90,bottom
D40,SOD-123,D_SOD-123,191.29375,-50.8,90,bottom
D41,SOD-123,D_SOD-123,191.29375,-69.85,90,bottom
D42,SOD-123,D_SOD-123,191.29375,-88.9,90,bottom
D43,SOD-123,D_SOD-123,210.34375,-31.75,90,bottom
D44,SOD-123,D_SOD-123,210.34375,-50.8,90,bottom
D45,SOD-123,D_SOD-123,210.34375,-69.85,90,bottom
D46,SOD-123,D_SOD-123,210.34375,-88.9,90,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,132.55625,-42.8625,90,bottom
FB1,60@100MHz,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.12,-22.733,180,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,199.898,-97.282,180,bottom
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.848,-110.998,0,bottom
R3,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141.494,-38.989,0,bottom
R4,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.35,-37.846,180,bottom
R5,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,189.611,-95.758,90,bottom
R6,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,191.707,-95.758,90,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,207.137,-94.615,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,192.659,-105.029,270,bottom
U2,PRTR5V0U2X,SOT143B,137.76325,-41.275,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,135.73125,-15.875,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,204.216,-105.156,90,bottom
