Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.534,-106.68,0,bottom
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.534,-103.759,0,bottom
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,198.247,-112.903,0,bottom
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.326,-94.869,0,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.326,-97.028,180,bottom
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,202.946,-100.33,270,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.785,-109.347,90,bottom
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,186.182,-97.155,180,bottom
D1,SOD-123,D_SOD-123,38.89375,-31.75,90,bottom
D2,SOD-123,D_SOD-123,38.89375,-50.8,90,bottom
D3,SOD-123,D_SOD-123,38.89375,-69.85,90,bottom
D4,SOD-123,D_SOD-123,38.89375,-88.9,90,bottom
D5,SOD-123,D_SOD-123,57.94375,-31.75,90,bottom
D6,SOD-123,D_SOD-123,57.94375,-50.8,90,bottom
D7,SOD-123,D_SOD-123,57.94375,-69.85,90,bottom
D8,SOD-123,D_SOD-123,57.94375,-88.9,90,bottom
D9,SOD-123,D_SOD-123,76.99375,-31.75,90,bottom
D10,SOD-123,D_SOD-123,76.99375,-50.8,90,bottom
D11,SOD-123,D_SOD-123,76.99375,-69.85,90,bottom
D12,SOD-123,D_SOD-123,76.99375,-88.9,90,bottom
D13,SOD-123,D_SOD-123,67.46875,-107.95,90,bottom
D14,SOD-123,D_SOD-123,96.04375,-31.75,90,bottom
D15,SOD-123,D_SOD-123,96.04375,-50.8,90,bottom
D16,SOD-123,D_SOD-123,96.04375,-69.85,90,bottom
D17,SOD-123,D_SOD-123,96.04375,-88.9,90,bottom
D18,SOD-123,D_SOD-123,86.51875,-107.95,90,bottom
D19,SOD-123,D_SOD-123,107.15625,-37.30625,0,bottom
D20,SOD-123,D_SOD-123,115.09375,-50.8,90,bottom
D21,SOD-123,D_SOD-123,115.09375,-69.85,90,bottom
D22,SOD-123,D_SOD-123,115.09375,-88.9,90,bottom
D23,SOD-123,D_SOD-123,110.33125,-107.95,90,bottom
D24,SOD-123,D_SOD-123,134.14375,-31.75,90,bottom
D25,SOD-123,D_SOD-123,134.14375,-50.8625,90,bottom
D26,SOD-123,D_SOD-123,134.14375,-69.85,90,bottom
D27,SOD-123,D_SOD-123,134.14375,-88.9,90,bottom
D28,SOD-123,D_SOD-123,138.90625,-107.95,90,bottom
D29,SOD-123,D_SOD-123,153.19375,-31.75,90,bottom
D30,SOD-123,D_SOD-123,153.19375,-50.8,90,bottom
D31,SOD-123,D_SOD-123,153.19375,-69.85,90,bottom
D32,SOD-123,D_SOD-123,153.19375,-88.9,90,bottom
D33,SOD-123,D_SOD-123,162.71875,-107.95,90,bottom
D34,SOD-123,D_SOD-123,172.24375,-31.75,90,bottom
D35,SOD-123,D_SOD-123,172.24375,-50.8,90,bottom
D36,SOD-123,D_SOD-123,172.24375,-69.85,90,bottom
D37,SOD-123,D_SOD-123,172.24375,-88.9,90,bottom
D38,SOD-123,D_SOD-123,181.76875,-106.3625,90,bottom
D39,SOD-123,D_SOD-123,191.29375,-31.75,90,bottom
D40,SOD-123,D_SOD-123,191.29375,-50.8,90,bottom
D41,SOD-123,D_SOD-123,191.29375,-69.85,90,bottom
D42,SOD-123,D_SOD-123,191.29375,-88.9,90,bottom
D43,SOD-123,D_SOD-123,210.34375,-31.75,90,bottom
D44,SOD-123,D_SOD-123,210.34375,-50.8,90,bottom
D45,SOD-123,D_SOD-123,210.34375,-69.85,90,bottom
D46,SOD-123,D_SOD-123,210.34375,-88.9,90,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,114.3,-40.48125,90,bottom
FB1,60@100MHz,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.206,-22.733,180,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,199.898,-97.282,180,bottom
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.848,-110.998,0,bottom
R3,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.555,-34.13125,0,bottom
R4,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.3,-34.13125,180,bottom
R5,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,189.611,-95.758,90,bottom
R6,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,191.707,-95.758,90,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,207.137,-94.615,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,192.659,-105.029,270,bottom
U2,PRTR5V0U2X,SOT143B,119.507,-37.94125,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,116.68125,-15.875,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,204.216,-105.156,90,bottom
